,basic model,,,,,,,,,,,,,,,,Z1.0 scaling model,,,,Model for other regions,,,,Vs30 scaling model for Japan,,,,,,Aleatory Uncertainties (0: estimated; 1:measured),,,,,,,
T,VLIN,b,c4,M1,a1,a2,a3,a6,a8,a10,a11,a12,a13,a14,a15,a17,a43,a44,a45,a46,a25,a28,a29,a31,a36,a37,a38,a40,a41,a42,s01,s02,s11,s12,s3,s4,s5,s6
0,660,-1.47,6,6.75,0.464,-0.79,0.281,2.28,0,1.735,0,-0.1,0.6,-0.3,1.1,-0.0066,0.1,0.05,0,-0.05,-0.0015,0.0025,-0.0034,-0.1503,0.265,0.337,0.188,0.088,-0.196,0.044,0.754,0.52,0.741,0.501,0.47,0.36,0.54,0.63
-1,330,-2.02,3,6.75,6.168,-0.95,0.281,2.3,-0.12,2.36,0,-0.1,0.25,0.22,0.9,-0.001,0.28,0.15,0.09,0.07,-0.0001,0.0005,-0.0037,-0.1462,0.377,0.212,0.157,0.095,-0.038,0.065,0.662,0.51,0.66,0.51,0.38,0.38,0.58,0.53
0.01,660,-1.47,6,6.75,0.464,-0.79,0.281,2.28,0,1.735,0,-0.1,0.6,-0.3,1.1,-0.0066,0.1,0.05,0,-0.05,-0.0015,0.0025,-0.0034,-0.1503,0.265,0.337,0.188,0.088,-0.196,0.044,0.754,0.52,0.741,0.501,0.47,0.36,0.54,0.63
0.02,680,-1.46,6,6.75,0.473,-0.79,0.281,2.28,0,1.718,0,-0.1,0.6,-0.3,1.1,-0.0066,0.1,0.05,0,-0.05,-0.0015,0.0024,-0.0033,-0.1479,0.255,0.328,0.184,0.088,-0.194,0.061,0.76,0.52,0.747,0.501,0.47,0.36,0.54,0.63
0.03,770,-1.39,6,6.75,0.457,-0.79,0.281,2.25,0,1.615,0,-0.1,0.6,-0.3,1.1,-0.0066,0.1,0.05,0,-0.05,-0.0016,0.0023,-0.0034,-0.1447,0.249,0.32,0.18,0.093,-0.175,0.162,0.781,0.52,0.769,0.501,0.47,0.36,0.55,0.63
0.05,800,-1.22,6,6.75,0.652,-0.79,0.281,2.18,0,1.358,0,-0.1,0.6,-0.3,1.1,-0.0075,0.1,0.05,0,-0.05,-0.002,0.0027,-0.0033,-0.1326,0.202,0.289,0.167,0.133,-0.09,0.451,0.81,0.53,0.798,0.512,0.47,0.36,0.56,0.65
0.075,800,-1.15,6,6.75,0.95,-0.79,0.278,2.13,0,1.258,0,-0.1,0.6,-0.3,1.1,-0.0092,0.1,0.05,0,-0.05,-0.0027,0.0032,-0.0029,-0.1353,0.126,0.275,0.173,0.186,0.09,0.506,0.81,0.54,0.798,0.522,0.47,0.36,0.57,0.69
0.1,800,-1.23,5.9,6.75,1.16,-0.79,0.27,2.14,0,1.31,0,-0.1,0.6,-0.3,1.1,-0.0101,0.1,0.05,0,-0.05,-0.0033,0.0036,-0.0025,-0.1128,0.022,0.256,0.189,0.16,0.006,0.335,0.81,0.55,0.795,0.527,0.47,0.36,0.57,0.7
0.15,740,-1.59,5.8,6.75,1.487,-0.79,0.258,2.19,-0.029,1.66,0,-0.1,0.6,-0.3,1.1,-0.0097,0.1,0.05,0,-0.05,-0.0035,0.0033,-0.0025,0.0383,-0.136,0.162,0.108,0.068,-0.156,-0.084,0.801,0.56,0.773,0.519,0.47,0.36,0.58,0.7
0.2,590,-2.01,5.7,6.75,1.712,-0.79,0.25,2.25,-0.05,2.22,0,-0.1,0.6,-0.3,1.1,-0.0084,0.1,0.05,0,-0.03,-0.0033,0.0027,-0.0031,0.0775,-0.078,0.224,0.115,0.048,-0.274,-0.178,0.789,0.565,0.753,0.514,0.47,0.36,0.59,0.7
0.25,495,-2.41,5.6,6.75,1.796,-0.79,0.242,2.3,-0.066,2.77,0,-0.1,0.6,-0.24,1.1,-0.0074,0.1,0.05,0,0,-0.0029,0.0024,-0.0036,0.0741,0.037,0.248,0.122,0.055,-0.248,-0.187,0.77,0.57,0.729,0.513,0.47,0.36,0.61,0.7
0.3,430,-2.76,5.5,6.75,1.849,-0.79,0.239,2.35,-0.079,3.25,0,-0.1,0.6,-0.19,1.03,-0.0064,0.1,0.05,0.03,0.03,-0.0027,0.002,-0.0039,0.2548,-0.091,0.203,0.096,0.073,-0.203,-0.159,0.74,0.58,0.693,0.519,0.47,0.36,0.63,0.7
0.4,360,-3.28,5.2,6.75,1.825,-0.79,0.231,2.45,-0.099,3.99,0,-0.1,0.58,-0.11,0.92,-0.0043,0.1,0.07,0.06,0.06,-0.0023,0.001,-0.0048,0.2136,0.129,0.232,0.123,0.143,-0.154,-0.023,0.699,0.59,0.644,0.524,0.47,0.36,0.66,0.7
0.5,340,-3.6,4.8,6.75,1.768,-0.79,0.23,2.55,-0.115,4.45,0,-0.1,0.56,-0.04,0.84,-0.0032,0.1,0.1,0.1,0.09,-0.002,0.0008,-0.005,0.1542,0.31,0.252,0.134,0.16,-0.159,-0.029,0.676,0.6,0.616,0.532,0.47,0.36,0.69,0.7
0.75,330,-3.8,4.4,6.75,1.543,-0.79,0.23,2.65,-0.144,4.75,0,-0.1,0.53,0.07,0.68,-0.0025,0.14,0.14,0.14,0.13,-0.001,0.0007,-0.0041,0.0787,0.505,0.208,0.129,0.158,-0.141,0.061,0.631,0.615,0.566,0.548,0.47,0.36,0.73,0.69
1,330,-3.5,4,6.75,1.292,-0.79,0.23,2.7,-0.165,4.3,0,-0.1,0.5,0.15,0.57,-0.0022,0.17,0.17,0.17,0.14,-0.0005,0.0007,-0.0032,0.0476,0.358,0.208,0.152,0.145,-0.144,0.062,0.609,0.63,0.541,0.565,0.47,0.36,0.77,0.68
1.5,330,-2.4,3.75,6.75,0.855,-0.79,0.23,2.75,-0.194,2.65,0,-0.1,0.42,0.27,0.42,-0.0016,0.22,0.21,0.2,0.16,-0.0004,0.0006,-0.002,-0.0163,0.131,0.108,0.118,0.131,-0.126,0.037,0.578,0.64,0.506,0.576,0.47,0.36,0.8,0.66
2,330,-1,3.5,6.75,0.521,-0.79,0.23,2.75,-0.214,0.55,0,-0.1,0.35,0.35,0.31,-0.0013,0.26,0.25,0.22,0.16,-0.0002,0.0003,-0.0017,-0.1203,0.123,0.068,0.119,0.083,-0.075,-0.143,0.555,0.65,0.48,0.587,0.47,0.36,0.8,0.62
3,330,0,3.25,6.82,0.16,-0.79,0.23,2.75,-0.243,-0.95,0,-0.1,0.2,0.46,0.16,-0.001,0.34,0.3,0.23,0.16,0,0,-0.002,-0.2719,0.109,-0.023,0.093,0.07,-0.021,-0.028,0.548,0.64,0.472,0.576,0.47,0.36,0.8,0.55
4,330,0,3,6.92,-0.07,-0.79,0.23,2.75,-0.264,-0.95,0,-0.1,0,0.54,0.05,-0.001,0.41,0.32,0.23,0.14,0,0,-0.002,-0.2958,0.135,0.028,0.084,0.101,0.072,-0.097,0.527,0.63,0.447,0.565,0.47,0.36,0.76,0.52
5,330,0,3,7,-0.41,-0.756,0.23,2.75,-0.27,-0.93,0,-0.1,0,0.61,-0.04,-0.001,0.51,0.32,0.22,0.13,0,0,-0.002,-0.2718,0.189,0.031,0.058,0.095,0.205,0.015,0.505,0.63,0.425,0.568,0.47,0.36,0.72,0.5
6,330,0,3,7.06,-0.838,-0.7,0.23,2.75,-0.27,-0.91,0,-0.1,0,0.65,-0.11,-0.001,0.55,0.32,0.2,0.1,0,0,-0.002,-0.2517,0.215,0.024,0.065,0.133,0.285,0.104,0.477,0.63,0.395,0.571,0.47,0.36,0.7,0.5
7.5,330,0,3,7.15,-1.433,-0.62,0.23,2.75,-0.27,-0.875,0,-0.1,0,0.72,-0.19,-0.001,0.55,0.29,0.17,0.08,0,0,-0.002,-0.1337,0.166,-0.061,0.009,0.151,0.329,0.299,0.457,0.63,0.378,0.575,0.47,0.36,0.67,0.5
10,330,0,3,7.25,-2.368,-0.515,0.23,2.75,-0.27,-0.8,0,-0.1,0,0.8,-0.3,-0.001,0.42,0.22,0.14,0.08,0,0,-0.002,-0.0216,0.092,-0.159,-0.05,0.124,0.301,0.243,0.429,0.63,0.359,0.585,0.47,0.36,0.64,0.5
