Periods,Magnitude Scaling,,,,,,,,Distance Attenuation,,,,,,Anelastic Attenuation,,,"Linear site term (Vc, Vref: m/s)",,,Non-linear site term,,,,Basin Depth (f6: 1/km),,"AleatoryUncertainties (R1,R2: km; V1, V2: m/s)",,,,,,,,,
T,e0,e1,e2,e3,e4,e5,e6,Mh,c1,c2,c3,Mref,Rref,h,D_c3_GlobalCATW,D_c3_ChinaTurkey,D_c3_ItalyJapan,c,Vc,Vref,f1,f3,f4,f5,f6,f7,R1,R2,D_phi_R,D_phi_V,V1,V2,phi1,phi2,tau1,tau2
-1,5.037,5.078,4.849,5.033,1.073,-0.1536,0.2252,6.2,-1.243,0.1489,-0.00344,4.5,1,5.3,0,0.00435,-0.00033,-0.84,1300,760,0,0.1,-0.1,-0.00844,-9.9,-9.9,105,272,0.082,0.068,225,300,0.644,0.552,0.401,0.346
0,0.4473,0.4856,0.2459,0.4539,1.431,0.05053,-0.1662,5.5,-1.134,0.1917,-0.00809,4.5,1,4.5,0,0.00286,-0.00255,-0.6,1500,760,0,0.1,-0.15,-0.00701,-9.9,-9.9,110,270,0.1,0.084,225,300,0.695,0.495,0.398,0.348
0.01,0.4534,0.4916,0.2519,0.4599,1.421,0.04932,-0.1659,5.5,-1.134,0.1916,-0.00809,4.5,1,4.5,0,0.00282,-0.00244,-0.6037,1500.2,760,0,0.1,-0.1483,-0.00701,-9.9,-9.9,111.67,270,0.096,0.079,225,300,0.698,0.499,0.402,0.345
0.02,0.48598,0.52359,0.29707,0.48875,1.4331,0.053388,-0.16561,5.5,-1.1394,0.18962,-0.00807,4.5,1,4.5,0,0.00278,-0.00234,-0.5739,1500.36,760,0,0.1,-0.1471,-0.00728,-9.9,-9.9,113.1,270,0.092,0.079,225,300,0.702,0.502,0.409,0.346
0.03,0.56916,0.6092,0.40391,0.55783,1.4261,0.061444,-0.1669,5.5,-1.1421,0.18842,-0.00834,4.5,1,4.49,0,0.00276,-0.00217,-0.5341,1502.95,760,0,0.1,-0.1549,-0.00735,-9.9,-9.9,112.13,270,0.081,0.082,225,300,0.721,0.514,0.445,0.364
0.04,0.66281,0.70604,0.51532,0.63828,1.409,0.066183,-0.17357,5.5,-1.1324,0.18816,-0.00903,4.5,1,4.32,0,0.00282,-0.00205,-0.4906,1503.35,760,0,0.1,-0.1678,-0.00698,-9.9,-9.9,108.28,270,0.073,0.084,225,300,0.738,0.521,0.478,0.384
0.05,0.75436,0.79905,0.60652,0.72726,1.3974,0.067357,-0.18082,5.5,-1.1159,0.18709,-0.00982,4.5,1,4.2,0,0.00296,-0.00199,-0.458,1501.42,760,0,0.1,-0.1963,-0.00647,-9.9,-9.9,97.93,270,0.063,0.077,225,300,0.753,0.532,0.503,0.426
0.075,0.96447,1.0077,0.77678,0.9563,1.4174,0.073549,-0.19665,5.5,-1.0831,0.18225,-0.01058,4.5,1,4.04,0,0.00296,-0.00216,-0.4441,1494,760,0,0.1,-0.2287,-0.00573,-9.9,-9.9,85.99,270.04,0.064,0.062,225,300,0.745,0.542,0.474,0.466
0.1,1.1268,1.1669,0.8871,1.1454,1.4293,0.055231,-0.19838,5.54,-1.0652,0.17203,-0.0102,4.5,1,4.13,0,0.00288,-0.00244,-0.4872,1479.12,760,0,0.1,-0.2492,-0.0056,-9.9,-9.9,79.59,270.09,0.087,0.057,225,300,0.728,0.541,0.415,0.458
0.15,1.3095,1.3481,1.0648,1.3324,1.2844,-0.042065,-0.18234,5.74,-1.0532,0.15401,-0.00898,4.5,1,4.39,0,0.00279,-0.00271,-0.5796,1442.85,760,0,0.1,-0.2571,-0.00585,-9.9,-9.9,81.33,270.16,0.12,0.072,225,300,0.72,0.537,0.354,0.388
0.2,1.3255,1.359,1.122,1.3414,1.1349,-0.11096,-0.15852,5.92,-1.0607,0.14489,-0.00772,4.5,1,4.61,0,0.00261,-0.00297,-0.6876,1392.61,760,0,0.1,-0.2466,-0.00614,-9.9,-9.9,90.91,270,0.136,0.086,225,300,0.711,0.539,0.344,0.309
0.25,1.2766,1.3017,1.0828,1.3052,1.0166,-0.16213,-0.12784,6.05,-1.0773,0.13925,-0.00652,4.5,1,4.78,0,0.00244,-0.00314,-0.7718,1356.21,760,0,0.1,-0.2357,-0.00644,-9.9,-9.9,97.04,269.45,0.141,0.089,225,300,0.698,0.547,0.35,0.266
0.3,1.2217,1.2401,1.0246,1.2653,0.95676,-0.1959,-0.09286,6.14,-1.0948,0.13388,-0.00548,4.5,1,4.93,0,0.0022,-0.0033,-0.8417,1308.47,760,0,0.1,-0.2191,-0.0067,-9.9,-9.9,103.15,268.59,0.138,0.093,225,300,0.675,0.561,0.363,0.229
0.4,1.1046,1.1214,0.89765,1.1552,0.96766,-0.22608,-0.02319,6.2,-1.1243,0.12512,-0.00405,4.5,1,5.16,0,0.00211,-0.00321,-0.9109,1252.66,760,0,0.1,-0.1958,-0.00713,-9.9,-9.9,106.02,266.54,0.122,0.095,225,300,0.643,0.58,0.381,0.21
0.5,0.96991,0.99106,0.7615,1.012,1.0384,-0.23522,0.02912,6.2,-1.1459,0.12015,-0.00322,4.5,1,5.34,0,0.00235,-0.00291,-0.9693,1203.91,760,0,0.1,-0.1704,-0.00744,-9.9,-9.9,105.54,265,0.109,0.088,225,300,0.615,0.599,0.41,0.224
0.75,0.66903,0.69737,0.47523,0.69173,1.2871,-0.21591,0.10829,6.2,-1.1777,0.11054,-0.00193,4.5,1,5.6,0,0.00269,-0.00253,-1.0154,1147.59,760,0,0.1,-0.1387,-0.00812,0.092,0.059,108.39,266.51,0.1,0.08,225,300,0.581,0.622,0.457,0.266
1,0.3932,0.4218,0.207,0.4124,1.5004,-0.18983,0.17895,6.2,-1.193,0.10248,-0.00121,4.5,1,5.74,0,0.00292,-0.00209,-1.05,1109.95,760,0,0.1,-0.1052,-0.00844,0.367,0.208,116.39,270,0.098,0.078,225,300,0.553,0.625,0.498,0.298
1.5,-0.14954,-0.11866,-0.3138,-0.1437,1.7622,-0.1467,0.33896,6.2,-1.2063,0.09645,-0.00037,4.5,1,6.18,0,0.00304,-0.00152,-1.0454,1072.39,760,0,0.1,-0.0679,-0.00771,0.638,0.309,125.38,262.41,0.104,0.076,225,300,0.532,0.619,0.525,0.315
2,-0.58669,-0.55003,-0.71466,-0.60658,1.9152,-0.11237,0.44788,6.2,-1.2159,0.09636,0,4.5,1,6.54,0,0.00292,-0.00117,-1.0392,1009.49,760,0,0.1,-0.0361,-0.00479,0.871,0.382,130.37,240.14,0.105,0.069,225,300,0.526,0.618,0.532,0.329
3,-1.1898,-1.142,-1.23,-1.2664,2.1323,-0.04332,0.62694,6.2,-1.2179,0.09764,0,4.5,1,6.93,0,0.00262,-0.00119,-1.0112,922.43,760,0,0.1,-0.0136,-0.00183,1.135,0.516,130.36,195,0.088,0.053,225,300,0.534,0.619,0.537,0.344
4,-1.6388,-1.5748,-1.6673,-1.7516,2.204,-0.014642,0.76303,6.2,-1.2162,0.10218,-0.00005,4.5,1,7.32,0,0.00261,-0.00108,-0.9694,844.48,760,0,0.1,-0.0032,-0.00152,1.271,0.629,129.49,199.45,0.07,0.036,225,300,0.536,0.616,0.543,0.349
5,-1.966,-1.8882,-2.0245,-2.0928,2.2299,-0.014855,0.87314,6.2,-1.2189,0.10353,0,4.5,1,7.78,0,0.0026,-0.00057,-0.9195,793.13,760,0,0.1,-0.0003,-0.00144,1.329,0.738,130.22,230,0.061,0.032,225,300,0.528,0.622,0.532,0.335
7.5,-2.5865,-2.4874,-2.8176,-2.6854,2.1187,-0.081606,1.0121,6.2,-1.2543,0.12507,0,4.5,1,9.48,0,0.0026,0.00038,-0.7766,771.01,760,0,0.1,-0.0001,-0.00137,1.329,0.809,130.72,250.39,0.058,0.034,225,300,0.512,0.634,0.511,0.27
10,-3.0702,-2.9537,-3.3776,-3.1726,1.8837,-0.15096,1.0651,6.2,-1.3253,0.15183,0,4.5,1,9.66,0,0.00303,0.00149,-0.6558,775,760,0,0.1,0,-0.00136,1.183,0.703,130,210,0.06,0.025,225,300,0.51,0.604,0.487,0.239
