,Basic,,,,,,,,,,,,,,,,,,,,,,,Hanging Wall Constrain,,,,,,,Anelastic Attenuation,,,,Aleatory uncertainties,,,,,,,,,,
T,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,k1,k2,k3,a2,h1,h2,h3,h4,h5,h6,c20,D_c20_CA,D_c20_JP,D_c20_CH,tau1,tau2,phi1,phi2,phi_lnAF,phi_c,sigma_11,sigma_12,sigma_21,sigma_22,rho
0.01,-4.292,0.977,0.533,-1.485,-0.499,-2.773,0.248,6.753,0,-0.214,0.72,1.094,2.191,1.416,-0.007,-0.207,0.39,0.0981,0.0334,0.00755,865,-1.186,1.839,0.168,0.242,1.471,-0.714,1,-0.336,-0.27,-0.0055,0,-0.0035,0.0036,0.404,0.325,0.734,0.492,0.3,0.166,0.838,0.854,0.59,0.613,1
0.02,-4.271,0.976,0.549,-1.488,-0.501,-2.772,0.247,6.502,0,-0.208,0.73,1.149,2.189,1.453,-0.0167,-0.199,0.387,0.1009,0.0327,0.00759,865,-1.219,1.84,0.166,0.244,1.467,-0.711,1,-0.339,-0.263,-0.0055,0,-0.0035,0.0036,0.417,0.326,0.738,0.496,0.3,0.166,0.848,0.864,0.594,0.617,0.998
0.03,-3.963,0.931,0.628,-1.494,-0.517,-2.782,0.246,6.291,0,-0.213,0.759,1.29,2.164,1.476,-0.0422,-0.202,0.378,0.1095,0.0331,0.0079,908,-1.273,1.841,0.167,0.246,1.467,-0.713,1,-0.338,-0.259,-0.0057,0,-0.0034,0.0037,0.446,0.344,0.747,0.503,0.3,0.165,0.87,0.886,0.609,0.631,0.986
0.05,-3.475,0.887,0.674,-1.388,-0.615,-2.791,0.24,6.317,0,-0.244,0.826,1.449,2.138,1.549,-0.0663,-0.339,0.295,0.1226,0.027,0.00803,1054,-1.346,1.843,0.173,0.251,1.449,-0.701,1,-0.338,-0.263,-0.0063,0,-0.0037,0.004,0.508,0.377,0.777,0.52,0.3,0.162,0.928,0.942,0.642,0.662,0.938
0.075,-3.293,0.902,0.726,-1.469,-0.596,-2.745,0.227,6.861,0,-0.266,0.815,1.535,2.446,1.772,-0.0794,-0.404,0.322,0.1165,0.0288,0.00811,1086,-1.471,1.845,0.198,0.26,1.435,-0.695,1,-0.347,-0.219,-0.007,0,-0.0037,0.0039,0.504,0.418,0.782,0.535,0.3,0.158,0.93,0.943,0.679,0.697,0.887
0.1,-3.666,0.993,0.698,-1.572,-0.536,-2.633,0.21,7.294,0,-0.229,0.831,1.615,2.969,1.916,-0.0294,-0.416,0.384,0.0998,0.0325,0.00744,1032,-1.624,1.847,0.174,0.259,1.449,-0.708,1,-0.391,-0.201,-0.0073,0,-0.0034,0.0042,0.445,0.426,0.769,0.543,0.3,0.17,0.888,0.904,0.69,0.711,0.87
0.15,-4.866,1.267,0.51,-1.669,-0.49,-2.458,0.183,8.031,0,-0.211,0.749,1.877,3.544,2.161,0.0642,-0.407,0.417,0.076,0.0388,0.00716,878,-1.931,1.852,0.198,0.254,1.461,-0.715,1,-0.449,-0.099,-0.0069,0,-0.003,0.0042,0.382,0.387,0.769,0.543,0.3,0.18,0.859,0.878,0.667,0.691,0.876
0.2,-5.411,1.366,0.447,-1.75,-0.451,-2.421,0.182,8.385,0,-0.163,0.764,2.069,3.707,2.465,0.0968,-0.311,0.404,0.0571,0.0437,0.00688,748,-2.188,1.856,0.204,0.237,1.484,-0.721,1,-0.393,-0.198,-0.006,0,-0.0031,0.0041,0.339,0.338,0.761,0.552,0.3,0.186,0.833,0.854,0.647,0.673,0.87
0.25,-5.962,1.458,0.274,-1.711,-0.404,-2.392,0.189,7.534,0,-0.15,0.716,2.205,3.343,2.766,0.1441,-0.172,0.466,0.0437,0.0463,0.00556,654,-2.381,1.861,0.185,0.206,1.581,-0.787,1,-0.339,-0.21,-0.0055,0,-0.0033,0.0036,0.34,0.316,0.744,0.545,0.3,0.191,0.818,0.84,0.63,0.658,0.85
0.3,-6.403,1.528,0.193,-1.77,-0.321,-2.376,0.195,6.99,0,-0.131,0.737,2.306,3.334,3.011,0.1597,-0.084,0.528,0.0323,0.0508,0.00458,587,-2.518,1.865,0.164,0.21,1.586,-0.795,1,-0.447,-0.121,-0.0049,0,-0.0035,0.0031,0.34,0.3,0.727,0.568,0.3,0.198,0.803,0.827,0.642,0.672,0.819
0.4,-7.566,1.739,-0.02,-1.594,-0.426,-2.303,0.185,7.012,0,-0.159,0.738,2.398,3.544,3.203,0.141,0.085,0.54,0.0209,0.0432,0.00401,503,-2.657,1.874,0.16,0.226,1.544,-0.77,1,-0.525,-0.086,-0.0037,0,-0.0034,0.0028,0.356,0.264,0.69,0.593,0.3,0.206,0.776,0.803,0.649,0.681,0.743
0.5,-8.379,1.872,-0.121,-1.577,-0.44,-2.296,0.186,6.902,0,-0.153,0.718,2.355,3.016,3.333,0.1474,0.233,0.638,0.0092,0.0405,0.00388,457,-2.669,1.883,0.184,0.217,1.554,-0.77,1,-0.407,-0.281,-0.0027,0,-0.0034,0.0025,0.379,0.263,0.663,0.611,0.3,0.208,0.764,0.792,0.665,0.697,0.684
0.75,-9.841,2.021,-0.042,-1.757,-0.443,-2.232,0.186,5.522,0,-0.09,0.795,1.995,2.616,3.054,0.1764,0.411,0.776,-0.0082,0.042,0.0042,410,-2.401,1.906,0.216,0.154,1.626,-0.78,1,-0.371,-0.285,-0.0016,0,-0.0032,0.0016,0.43,0.326,0.606,0.633,0.3,0.221,0.743,0.775,0.712,0.746,0.562
1,-11.011,2.18,-0.069,-1.707,-0.527,-2.158,0.169,5.65,0,-0.105,0.556,1.447,2.47,2.562,0.2593,0.479,0.771,-0.0131,0.0426,0.00409,400,-1.955,1.929,0.596,0.117,1.616,-0.733,1,-0.128,-0.756,-0.0006,0,-0.003,0.0006,0.47,0.353,0.579,0.628,0.3,0.225,0.746,0.779,0.72,0.754,0.467
