,General Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleatory Uncertainties,,,,,Non-California Model,,,,
T,c1,c1a,c1b,c1c,c1d,cn,cM,c3,c5,cHM,c6,c7,c7b,c8b,c9,c9a,c9b,c11,c11b,cg1,cg2,cg3,phi1,phi2,phi3,phi4,phi5,phi6,tau1,tau2,sigma1,sigma2,sigma3,g_JpIt,g_Wn,phi1_JP,phi5_JP,phi6_JP
0.01,-1.507,0.165,-0.3729,-0.165,0.1977,16.0875,4.9993,1.9636,6.4551,3.0956,0.4893,0.0352,0.0462,0.4833,0.9228,0.1202,6.8607,0,-0.4536,-0.007141,-0.006768,4.1293,-0.521,-0.1417,-0.00701,0.102151,0,300,0.401,0.247,0.553,0.4106,0.8,1.5817,0.7594,-0.6846,0.459,800
0.02,-1.4788,0.165,-0.3772,-0.165,0.218,15.7118,4.9993,1.9636,6.4551,3.0963,0.4892,0.0352,0.0472,1.2144,0.9296,0.1217,6.8697,0,-0.4536,-0.007226,-0.006929,4.0715,-0.5055,-0.1364,-0.007279,0.10836,0,300,0.408,0.242,0.5567,0.4107,0.8,1.574,0.7606,-0.6681,0.458,800
0.03,-1.3116,0.165,-0.4429,-0.165,0.3484,15.8819,4.9993,1.9636,6.4551,3.0974,0.489,0.0352,0.0533,1.6421,0.9396,0.1194,6.9113,0,-0.4536,-0.00752,-0.00716,4.0009,-0.4368,-0.1403,-0.007354,0.119888,0,300,0.432,0.232,0.5676,0.4136,0.8,1.5544,0.7642,-0.6314,0.462,800
0.04,-1.1159,0.165,-0.5122,-0.165,0.4733,16.4556,4.9993,1.9636,6.4551,3.0988,0.4888,0.0352,0.0596,1.9456,0.9661,0.1166,7.0271,0,-0.4536,-0.007881,-0.007477,3.9647,-0.3752,-0.1591,-0.006977,0.133641,0,300,0.446,0.246,0.5816,0.4197,0.8,1.5502,0.7676,-0.5855,0.453,800
0.05,-0.9464,0.165,-0.5544,-0.165,0.5433,17.6453,4.9993,1.9636,6.4551,3.1011,0.4884,0.0352,0.0639,2.181,0.9794,0.1176,7.0959,0,-0.4536,-0.008295,-0.00746,3.9832,-0.3469,-0.1862,-0.006467,0.148927,0,300,0.467,0.275,0.5933,0.4265,0.8,1.5391,0.7739,-0.5457,0.436,800
0.075,-0.6749,0.165,-0.5929,-0.165,0.5621,20.1772,5.0031,1.9636,6.4551,3.1094,0.4872,0.0352,0.063,2.6087,1.026,0.1171,7.3298,0,-0.4536,-0.009266,-0.006565,4.1949,-0.3747,-0.2538,-0.005734,0.190596,0,300,0.486,0.419,0.5976,0.4544,0.8,1.4804,0.7956,-0.4685,0.383,800
0.1,-0.5735,0.165,-0.576,-0.165,0.4633,19.9992,5.0172,1.9636,6.8305,3.2381,0.4854,0.0352,0.0532,2.9122,1.0177,0.1146,7.2588,0,-0.4536,-0.00971,-0.00549,4.4844,-0.444,-0.2943,-0.005604,0.230662,0,300,0.468,0.427,0.5868,0.4761,0.8,1.4094,0.7932,-0.4985,0.375,800
0.12,-0.5439,0.165,-0.5583,-0.165,0.4,18.7106,5.0315,1.9795,7.1333,3.3407,0.4837,0.0352,0.0452,3.1045,1.0008,0.1128,7.2372,0,-0.4536,-0.009806,-0.00484,4.673,-0.4895,-0.3077,-0.005696,0.253169,0,300,0.453,0.384,0.5892,0.4795,0.8,1.3682,0.7768,-0.5603,0.377,800
0.15,-0.5543,0.165,-0.5345,-0.165,0.3337,16.6246,5.0547,2.0362,7.3621,3.43,0.4808,0.0352,0.0345,3.3399,0.9801,0.1106,7.2109,0,-0.4536,-0.009805,-0.003897,4.8266,-0.5477,-0.3113,-0.005845,0.266468,0,300,0.417,0.297,0.5892,0.4798,0.8,1.3241,0.7437,-0.6451,0.379,800
0.17,-0.5933,0.165,-0.5188,-0.165,0.2961,15.3709,5.0704,2.0823,7.4365,3.4688,0.4787,0.0352,0.0283,3.4719,0.9652,0.115,7.2491,0,-0.4536,-0.009733,-0.003334,4.867,-0.5922,-0.3062,-0.005959,0.26506,0,300,0.403,0.256,0.5877,0.4839,0.8,1.3071,0.7219,-0.6981,0.38,800
0.2,-0.6865,0.165,-0.4944,-0.165,0.2438,13.7012,5.0939,2.1521,7.4972,3.5146,0.4755,0.0352,0.0202,3.6434,0.9459,0.1208,7.2988,0,-0.444,-0.009505,-0.00269,4.8796,-0.6693,-0.2927,-0.006141,0.255253,0,300,0.386,0.231,0.5799,0.4848,0.8,1.2931,0.6922,-0.7653,0.384,800
0.25,-0.872,0.165,-0.4517,-0.165,0.162,11.2667,5.1315,2.2574,7.5416,3.5746,0.4706,0.0352,0.009,3.8787,0.9196,0.1208,7.3691,0,-0.3539,-0.008918,-0.002127,4.8371,-0.7766,-0.2662,-0.006439,0.231541,0,300,0.369,0.207,0.5643,0.4796,0.7999,1.315,0.6579,-0.8469,0.393,800
