Permutation#     Rupture-Generator     Low-Frequency     High-Frequency     Site-Response
--------------------------------------------------------------------------------------------
    01                 GP                  GP                GP               GP
    02                 GP                  GP                GP              UCSB
    03                 GP                  GP                GP              SDSU
    04                 GP                  GP               UCSB               GP
    05                 GP                  GP               UCSB              UCSB
    06                 GP                  GP               UCSB              SDSU
    07                 GP                  GP               SDSU               GP
    08                 GP                  GP               SDSU              UCSB
    09                 GP                  GP               SDSU              SDSU
    10                 GP                 UCSB                GP               GP
    11                 GP                 UCSB                GP              UCSB
    12                 GP                 UCSB                GP              SDSU
    13                 GP                 UCSB               UCSB               GP
    14                 GP                 UCSB               UCSB              UCSB
    15                 GP                 UCSB               UCSB              SDSU
    16                 GP                 UCSB               SDSU               GP
    17                 GP                 UCSB               SDSU              UCSB
    18                 GP                 UCSB               SDSU              SDSU
    19                UCSB                  GP                GP               GP
    20                UCSB                  GP                GP              UCSB
    21                UCSB                  GP                GP              SDSU
    22                UCSB                  GP               UCSB               GP
    23                UCSB                  GP               UCSB              UCSB
    24                UCSB                  GP               UCSB              SDSU
    25                UCSB                  GP               SDSU               GP
    26                UCSB                  GP               SDSU              UCSB
    27                UCSB                  GP               SDSU              SDSU
    28                UCSB                 UCSB                GP               GP
    29                UCSB                 UCSB                GP              UCSB
    30                UCSB                 UCSB                GP              SDSU
    31                UCSB                 UCSB               UCSB               GP
    32                UCSB                 UCSB               UCSB              UCSB
    33                UCSB                 UCSB               UCSB              SDSU
    34                UCSB                 UCSB               SDSU               GP
    35                UCSB                 UCSB               SDSU              UCSB
    36                UCSB                 UCSB               SDSU              SDSU
    37           User-supplied-SRF          GP                GP               GP
    38           User-supplied-SRF          GP                GP              UCSB
    39           User-supplied-SRF          GP                GP              SDSU
    40           User-supplied-SRF          GP               UCSB               GP
    41           User-supplied-SRF          GP               UCSB              UCSB
    42           User-supplied-SRF          GP               UCSB              SDSU
    43           User-supplied-SRF          GP               SDSU               GP
    44           User-supplied-SRF          GP               SDSU              UCSB
    45           User-supplied-SRF          GP               SDSU              SDSU
    46           User-supplied-SRF         UCSB                GP               GP
    47           User-supplied-SRF         UCSB                GP              UCSB
    48           User-supplied-SRF         UCSB                GP              SDSU
    49           User-supplied-SRF         UCSB               UCSB               GP
    50           User-supplied-SRF         UCSB               UCSB              UCSB
    51           User-supplied-SRF         UCSB               UCSB              SDSU
    52           User-supplied-SRF         UCSB               SDSU               GP
    53           User-supplied-SRF         UCSB               SDSU              UCSB
    54           User-supplied-SRF         UCSB               SDSU              SDSU
